HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
003001-20740,2,Apples R 12/3 lbs D,10052,,,0.0,CS,1680,0,CASE,,,0,,,,,,,,,,,,,,,1,42.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,3,Potatoes 1/10 lb Bag (D),10097,,,0.0,EA,2000,0,BAG,,,0,,,,,,,,,,,,,,,1,200.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,4,Asst Punch 4/128oz (R),11874,,,0.0,CS,1900,0,CASE,,REF,0,,,,,,,,,,,,,,,1,50.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,5,General Reclamation D Bulk Box,40004,,,0.0,LB,8039,0,BULKBOX,,,0,,,,,,,,,,,,,,,1,8039.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,6,Orange Pumkin PoPs 24count,12303,,,0.0,CS,704,0,CASE,,DRY,0,,,,,,,,,,,,,,,1,32.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,7,Waffle Cones 216/count (D),12272,,,0.0,CS,320,0,CASE,,DRY,0,,,,,,,,,,,,,,,1,20.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,8,Boxed Canned Vegeies Bulk Box(D),50011,,,0.0,CS,1080,0,CASE,,,0,,,,,,,,,,,,,,,1,27.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20740,9,USDA Non Fat Dry Milk 12/25.6oz (D),60126,,,0.0,CS,1188,0,CASE,,DRY,0,,,,,,,,,,,,,,,1,54.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20738,2,Purchase Sliced Cheese 12/10oz(R),65794,,,0.0,CS,10,8.84,CASE,,REF,0,,,,,,,,,,,,,,,1,1.0,20040610.0,,,,,,,,,8.84,,,,,,,,,,,,,,,,,
003001-20738,3,Purchase Fruit Cocktail 24/15oz(D),65743,,,0.0,CS,26,14,CASE,,DRY,0,,,,,,,,,,,,,,,1,1.0,20040610.0,,,,,,,,,14,,,,,,,,,,,,,,,,,
